"id","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"549","Geno Smith","QB","LAC",0,0,0,11,0,0,Inf,0,0.02,0,0.01,0.2
"550","Blaine Gabbert","QB","TEN",0,0,0,756,0,0,Inf,0,0.58,0,0.41,0.1
"551","Brent Grimes","UNK","TB",0,0,0,284,0,0,Inf,0,0.05,0,0.04,0.1
"552","Aaron Wallace","UNK","TEN",0,0,0,0,0,0,NA,NA,0,0,0,0
"553","Adam Jones","UNK","DEN",0,0,0,55,0,0,Inf,0,0.03,0,0.02,0
"554","Adolphus Washington","UNK","BUF",0,0,0,0,0,0,NA,NA,0,0,0,0
"555","Adolphus Washington","UNK","CIN",0,0,0,7,0,0,Inf,0,0.01,0,0.01,0
"556","Adonis Alexander","UNK","WAS",0,0,0,0,0,0,NA,NA,0,0,0,0
"557","Akeem Spence","UNK","MIA",0,0,0,99,0,0,Inf,0,0.03,0,0.02,0
"558","Alex Tanney","QB","NYG",1,0,0,8,0,0,8,0,0.03,0.03,0.06,0
"559","Andre Branch","UNK","MIA",0,0,0,-5,0,0,-Inf,0,0,0,0,0
"560","Andre Hal","UNK","HOU",0,0,0,203,0,0,Inf,0,0.11,0,0.08,0
"561","Andrew Adams","UNK","TB",0,0,0,245,0,0,Inf,0,0.06,0,0.04,0
"562","Anthony Wint","UNK","NYJ",0,0,0,0,0,0,NA,NA,0,0,0,0
"563","Anthony Zettel","UNK","CLE",0,0,0,17,0,0,Inf,0,0.01,0,0.01,0
"564","Antonio Morrison","UNK","GB",0,0,0,72,0,0,Inf,0,0.01,0,0.01,0
"565","B.J. Bello","UNK","PHI",0,0,0,0,0,0,NA,NA,0,0,0,0
"566","Barry Church","UNK","JAC",0,0,0,159,0,0,Inf,0,0.07,0,0.05,0
"567","Ben Jacobs","UNK","CAR",0,0,0,10,0,0,Inf,0,0.01,0,0,0
"568","Bene' Benwikere","UNK","ARI",0,0,0,261,0,0,Inf,0,0.11,0,0.08,0
"569","Bene' Benwikere","UNK","OAK",0,0,0,5,0,0,Inf,0,0.03,0,0.02,0
"570","Bennie Logan","UNK","TEN",0,0,0,-6,0,0,-Inf,0,0,0,0,0
"571","Blair Brown","UNK","JAC",0,0,0,7,0,0,Inf,0,0.01,0,0.01,0
"572","Blake Countess","UNK","LA",0,0,0,43,0,0,Inf,0,0.01,0,0.01,0
"573","Boston Scott","UNK","PHI",0,0,0,0,0,0,NA,NA,0,0,0,0
"574","Brandon Bell","UNK","CIN",0,0,0,0,0,0,NA,NA,0,0,0,0
"575","Brandon Fusco","UNK","ATL",0,0,0,0,0,0,NA,NA,0,0,0,0
"576","Brandon Marshall","UNK","DEN",0,0,0,79,0,0,Inf,0,0.02,0,0.02,0
"577","Brandon Tate","UNK","NO",0,0,0,0,0,0,NA,NA,0,0,0,0
"578","Brendan Langley","UNK","DEN",0,0,0,0,0,0,NA,NA,0,0,0,0
"579","Brett Hundley","QB","SEA",0,0,0,7,0,0,Inf,0,0.02,0,0.02,0
"580","Brian Orakpo","UNK","TEN",0,0,0,96,0,0,Inf,0,0.04,0,0.03,0
"581","Brian Peters","UNK","HOU",0,0,0,14,0,0,Inf,0,0.01,0,0.01,0
"582","Brian Price","UNK","CLE",0,0,0,-2,0,0,-Inf,0,0,0,0,0
"583","Brian Price","UNK","OAK",0,0,0,0,0,0,NA,NA,0,0,0,0
"584","Brice Butler","UNK","DAL",1,0,0,46,0,0,46,0,0.13,0.03,0.13,0
"585","Briean Boddy-Calhoun","UNK","CLE",0,0,0,290,0,0,Inf,0,0.06,0,0.04,0
"586","Brock Coyle","UNK","SF",0,0,0,8,0,0,Inf,0,0.02,0,0.01,0
"587","Bruce Carter","UNK","ATL",0,0,0,28,0,0,Inf,0,0.01,0,0.01,0
"588","Bruce Hector","UNK","PHI",0,0,0,0,0,0,NA,NA,0,0,0,0
"589","Bryan Anger","UNK","TB",0,0,0,10,0,0,Inf,0,0,0,0,0
"590","Bryan Cox","UNK","CAR",0,0,0,6,0,0,Inf,0,0,0,0,0
"591","Bryan Witzmann","UNK","CHI",0,0,0,39,0,0,Inf,0,0.08,0,0.06,0
"592","Buddy Howell","RB","HOU",0,0,0,0,0,0,NA,NA,0,0,0,0
"593","Byron Bell","UNK","GB",0,0,0,0,0,0,NA,NA,0,0,0,0
"594","C.J. Reavis","UNK","JAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"595","Caleb Sturgis","UNK","LAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"596","Cameron Lynch","UNK","TB",0,0,0,0,0,0,NA,NA,0,0,0,0
"597","Cameron Malveaux","UNK","ARI",0,0,0,-2,0,0,-Inf,0,0,0,0,0
"598","Cameron Malveaux","UNK","MIA",0,0,0,0,0,0,NA,NA,0,0,0,0
"599","Captain Munnerlyn","UNK","CAR",0,0,0,312,0,0,Inf,0,0.08,0,0.05,0
"600","Caraun Reid","UNK","DAL",0,0,0,36,0,0,Inf,0,0.02,0,0.01,0
"601","Carl Davis","UNK","CLE",0,0,0,0,0,0,NA,NA,0,0,0,0
"602","Carroll Phillips","UNK","IND",0,0,0,2,0,0,Inf,0,0,0,0,0
"603","Chandler Catanzaro","UNK","CAR",0,0,0,0,0,0,NA,NA,0,0,0,0
"604","Chandler Catanzaro","UNK","TB",0,0,0,0,0,0,NA,NA,0,0,0,0
"605","Chase Daniel","QB","CHI",0,0,0,628,0,0,Inf,0,0.52,0,0.37,0
"606","Chris Banjo","UNK","NO",0,0,0,101,0,0,Inf,0,0.07,0,0.05,0
"607","Chris Clark","UNK","CAR",0,0,0,17,0,0,Inf,0,0.03,0,0.02,0
"608","Chris Conte","UNK","TB",0,0,0,62,0,0,Inf,0,0.1,0,0.07,0
"609","Chris Covington","UNK","DAL",0,0,0,0,0,0,NA,NA,0,0,0,0
"610","Chris Lacy","WR","DET",1,0,0,9,0,0,9,0,0.04,0.03,0.08,0
"611","Chris Long","UNK","PHI",0,0,0,76,0,0,Inf,0,0.02,0,0.01,0
"612","Chris Worley","UNK","CIN",0,0,0,0,0,0,NA,NA,0,0,0,0
"613","Christian Ringo","UNK","CIN",0,0,0,-5,0,0,-Inf,0,0,0,0,0
"614","Clint Boling","UNK","CIN",0,0,0,14,0,0,Inf,0,0.06,0,0.04,0
"615","Cody Parkey","UNK","CHI",0,0,0,0,0,0,NA,NA,0,0,0,0
"616","Colby Gossett","UNK","ARI",0,0,0,0,0,0,NA,NA,0,0,0,0
"617","Cole Wick","UNK","SF",1,0,0,1,0,0,1,0,0,0.01,0.02,0
"618","Colton Schmidt","UNK","BUF",0,0,0,0,0,0,NA,NA,0,0,0,0
"619","Connor Barwin","UNK","NYG",0,0,0,19,0,0,Inf,0,0.01,0,0,0
"620","Corey Graham","UNK","PHI",0,0,0,271,0,0,Inf,0,0.08,0,0.06,0
"621","Corey Moore","UNK","IND",0,0,0,66,0,0,Inf,0,0.03,0,0.02,0
"622","Corn Elder","UNK","CAR",0,0,0,29,0,0,Inf,0,0.06,0,0.04,0
"623","Coty Sensabaugh","UNK","PIT",0,0,0,322,0,0,Inf,0,0.07,0,0.05,0
"624","D'Juan Hines","UNK","CLE",0,0,0,0,0,0,NA,NA,0,0,0,0
"625","Da'Norris Searcy","UNK","CAR",0,0,0,20,0,0,Inf,0,0.04,0,0.03,0
"626","Damontre Moore","UNK","OAK",0,0,0,12,0,0,Inf,0,0.02,0,0.01,0
"627","Daniel Brown","TE","CHI",0,0,0,0,0,0,NA,NA,0,0,0,0
"628","Dare Ogunbowale","RB","TB",0,0,0,0,0,0,NA,NA,0,0,0,0
"629","Darius Philon","UNK","LAC",0,0,0,49,0,0,Inf,0,0.01,0,0.01,0
"630","Darrell Daniels","UNK","ARI",1,0,0,72,0,0,72,0,0.11,0.02,0.1,0
"631","Darrell Daniels","UNK","SEA",1,0,0,31,0,0,31,0,0.04,0.01,0.05,0
"632","Datone Jones","UNK","DAL",0,0,0,3,0,0,Inf,0,0.02,0,0.01,0
"633","David Amerson","UNK","ARI",0,0,0,69,0,0,Inf,0,0.04,0,0.03,0
"634","David Irving","UNK","DAL",0,0,0,0,0,0,NA,NA,0,0,0,0
"635","David Parry","UNK","MIN",0,0,0,-3,0,0,-Inf,0,0,0,0,0
"636","Davon House","UNK","GB",0,0,0,9,0,0,Inf,0,0.03,0,0.02,0
"637","De'Vante Harris","UNK","TB",0,0,0,95,0,0,Inf,0,0.05,0,0.03,0
"638","Deante Burton","UNK","ATL",0,0,0,10,0,0,Inf,0,0.03,0,0.02,0
"639","Deante Burton","UNK","HOU",0,0,0,26,0,0,Inf,0,0.06,0,0.04,0
"640","Deatrick Nichols","UNK","ARI",0,0,0,0,0,0,NA,NA,0,0,0,0
"641","Deiondre' Hall","UNK","PHI",0,0,0,0,0,0,NA,NA,0,0,0,0
"642","Dekoda Watson","UNK","SF",0,0,0,-5,0,0,-Inf,0,-0.01,0,-0.01,0
"643","Denzel Rice","UNK","BUF",0,0,0,0,0,0,NA,NA,0,0,0,0
"644","Denzel Rice","UNK","CLE",0,0,0,29,0,0,Inf,0,0.03,0,0.02,0
"645","Derrick Johnson","UNK","OAK",0,0,0,31,0,0,Inf,0,0.03,0,0.02,0
"646","Derrick Jones","UNK","NYJ",0,0,0,10,0,0,Inf,0,0.03,0,0.02,0
"647","Derrick Kindred","UNK","CLE",0,0,0,120,0,0,Inf,0,0.02,0,0.01,0
"648","Derrick Morgan","UNK","TEN",0,0,0,50,0,0,Inf,0,0.02,0,0.01,0
"649","Derrick Shelby","UNK","ATL",0,0,0,-7,0,0,-Inf,0,0,0,0,0
"650","DeShawn Shead","UNK","DET",0,0,0,49,0,0,Inf,0,0.03,0,0.02,0
"651","Desmond Harrison","UNK","CLE",0,0,0,15,0,0,Inf,0,0.04,0,0.02,0
"652","Devante Downs","UNK","MIN",0,0,0,0,0,0,NA,NA,0,0,0,0
"653","Dexter McDougle","UNK","PHI",0,0,0,39,0,0,Inf,0,0.07,0,0.05,0
"654","Dion Jordan","UNK","SEA",0,0,0,54,0,0,Inf,0,0.02,0,0.01,0
"655","Domata Peko","UNK","DEN",0,0,0,23,0,0,Inf,0,0.01,0,0,0
"656","Dominique Easley","UNK","LA",0,0,0,0,0,0,NA,NA,0,0,0,0
"657","Donald Payne","UNK","JAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"658","Donnie Jones","UNK","LAC",0,0,0,0,0,0,NA,NA,0,0,0,0
"659","Donte' Deayon","UNK","NYG",0,0,0,52,0,0,Inf,0,0.07,0,0.05,0
